URL,Titles,Folder Name,File Path
https://global.support.ritsumei.ac.jp/hc/en-us/categories/360005898053-Frequently-Asked-Questions-from-International-Students,['Frequently Asked Questions from International Students'],data/scraped_data_1717508077.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360057679294-I-heard-that-I-can-talk-to-the-international-student-support-coordinator-to-talk-about-my-student-life-Should-I-go-to-the-service-window,['I heard that I can talk to the international student support coordinator to talk about my student life. Should I go to the service window?'],data/scraped_data_1717508079.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360059530133-How-do-I-apply-for-tuition-reduction-updated-2024-4-12,['How do I apply for tuition reduction? (updated 2024/4/12)'],data/scraped_data_1717508081.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360057680014-How-do-I-apply-for-scholarships-updated-2024-4-2,['How do I apply for scholarships? (updated 2024/4/2)'],data/scraped_data_1717508083.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/23699869172243-After-graduating-I-plan-to-enter-graduate-school-but-there-will-be-a-gap-between-graduation-and-entrance-Can-I-stay-in-Japan-during-this-period,['After graduating I plan to enter graduate school but there will be a gap between graduation and entrance. Can I stay in Japan during this period?'],data/scraped_data_1717508085.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/20674118615443-How-do-I-extend-my-status-of-residence,['How do I extend my status of residence?'],data/scraped_data_1717508087.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360057680114-What-should-I-do-if-my-status-of-residence-or-re-entry-permit-expires-while-I-am-away-from-Japan,['What should I do if my status of residence or re-entry permit expires while I am away from Japan?'],data/scraped_data_1717508088.txt
https://global. support.ritsumei.ac.jp/hc/en-us/articles/1500004874641-How-can-I-get-the-latest-information-on-immigration-procedures-policies-regulations,['How can I get the latest information on immigration procedures/policies/regulations?'],data/scraped_data_1717508090.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360059529353-At-what-times-do-I-have-to-submit-a-copy-of-my-Residence-Card-to-the-university,['At what times do I have to submit a copy of my Residence Card to the university?'],data/scraped_data_1717508092.txt
https://global.support.ritsumei.ac.jp/hc/en-us/articles/360057680094-Why-do-International-Students-need-to-have-their-attendance-confirmed-every-month,['Why do International Students need to have their attendance confirmed every month?'],data/scraped_data_1717508094.txt
